País    ;Estado           ;Estado Tránsito      ;Factura compra;Foto;Declaración;Prueba entrega;Consolidado;Das;Fecha registro;Fecha ingreso;Tiempo para foto;Delta foto-registro datos;Delta registro datos-ubicación bodega;Delta ubicación bodega-tránsito;Tiempo en bodega
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;29/12/2021    ;10/02/2022   ;                ;                         ;                                     ;                               ;0,61
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;3/01/2022     ;24/02/2022   ;                ;                         ;                                     ;                               ;
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;3/01/2022     ;24/02/2022   ;339,73          ;63,58                    ;84,84                                ;7,94                           ;8,28
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;4/01/2022     ;3/02/2022    ;3,08            ;23,5                     ;                                     ;                               ;0,02
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;5/01/2022     ;18/02/2022   ;58,06           ;4,83                     ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;Si            ;No  ;Si         ;Si            ;No         ;No ;5/01/2022     ;28/02/2022   ;                ;                         ;118,21                               ;2,02                           ;2,64
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;10/01/2022    ;8/02/2022    ;1106,65         ;129,39                   ;                                     ;                               ;0,86
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;10/01/2022    ;2/02/2022    ;155,78          ;36,52                    ;                                     ;                               ;0,13
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;13/01/2022    ;2/02/2022    ;57,86           ;3,22                     ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;No            ;No         ;No ;13/01/2022    ;22/02/2022   ;1465,57         ;52,04                    ;                                     ;                               ;1,05
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;15/01/2022    ;3/02/2022    ;                ;                         ;                                     ;                               ;0,38
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;17/01/2022    ;1/02/2022    ;12,24           ;65,55                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;18/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;0,5
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;18/01/2022    ;2/02/2022    ;396,02          ;925,85                   ;                                     ;                               ;0,92
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;19/01/2022    ;9/02/2022    ;                ;                         ;                                     ;                               ;0,42
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;19/01/2022    ;8/02/2022    ;131,49          ;87,95                    ;                                     ;                               ;0,15
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;No            ;No         ;No ;20/01/2022    ;3/02/2022    ;82,29           ;2,28                     ;21,25                                ;1,13                           ;1,21
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;20/01/2022    ;8/02/2022    ;                ;                         ;                                     ;                               ;0,49
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;20/01/2022    ;7/02/2022    ;14,96           ;50,67                    ;                                     ;                               ;0,05
Colombia;En Tránsito      ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;20/01/2022    ;14/02/2022   ;                ;                         ;                                     ;                               ;17,4
Colombia;Por Identificar  ;                     ;No            ;Si  ;No         ;No            ;No         ;No ;20/01/2022    ;17/02/2022   ;84,91           ;33,25                    ;236,89                               ;                               ;
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;No            ;No         ;No ;21/01/2022    ;10/02/2022   ;211,71          ;21,74                    ;                                     ;                               ;0,16
